,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating
341,Oakland School for the Arts,https://www.niche.com/k12/oakland-school-for-the-arts-oakland-ca/,0.95,0.6,0.37,,,,1240.0,610.0,630.0,25.0,22.0,27.0,26.0,24.0,342,,Oakland,3.84
342,Chino Hills High School,https://www.niche.com/k12/chino-hills-high-school-chino-hills-ca/,0.95,0.63,0.43,0.66,0.26,22.0,1220.0,620.0,610.0,27.0,26.0,28.0,28.0,26.0,343,Chino Valley Unified School District,Chino hills,3.65
343,Anahuacalmecac International University Prep of N. America,https://www.niche.com/k12/anahuacalmecac-international-university-prep-of-n-america-los-angeles-ca/,0.9,0.42,0.32,,,,24.0,22.0,25.0,24.0,,,,,344,,Los angeles,3.9
344,Santiago High School,https://www.niche.com/k12/santiago-high-school-corona-ca/,0.98,0.77,0.4,0.29,0.37,25.0,1220.0,610.0,610.0,27.0,26.0,28.0,27.0,27.0,345,Corona-Norco Unified School District,Corona,3.99
345,Kearny Digital Media & Design,https://www.niche.com/k12/kearny-digital-media-and-design-san-diego-ca/,0.95,0.72,0.22,,,,1060.0,520.0,540.0,22.0,21.0,22.0,22.0,21.0,346,San Diego Unified School District,San diego,3.84
346,The O'Farrell Charter School,https://www.niche.com/k12/the-ofarrell-charter-school-san-diego-ca/,0.95,0.51,0.35,0.59,0.32,8.0,1050.0,520.0,530.0,21.0,21.0,22.0,20.0,21.0,347,,San diego,4.2
347,Brea-Olinda High School,https://www.niche.com/k12/brea-olinda-high-school-brea-ca/,0.94,0.68,0.47,0.64,0.11,24.0,1270.0,640.0,630.0,29.0,28.0,30.0,29.0,28.0,348,Brea-Olinda Unified School District,Brea,3.77
348,Van Nuys Senior High School,https://www.niche.com/k12/van-nuys-senior-high-school-van-nuys-ca/,0.87,0.55,0.32,0.7,0.3,23.0,1210.0,610.0,610.0,28.0,27.0,29.0,28.0,27.0,349,Los Angeles Unified School District,Van nuys,3.76
349,Burbank High School,https://www.niche.com/k12/burbank-high-school-burbank-ca/,0.95,0.7,0.39,0.47,0.31,18.0,1290.0,650.0,640.0,29.0,29.0,30.0,29.0,29.0,350,Burbank Unified School District,Burbank,3.81
350,Rosemead High School,https://www.niche.com/k12/rosemead-high-school-rosemead-ca/,0.93,0.74,0.46,0.72,0.33,17.0,1200.0,610.0,590.0,25.0,25.0,25.0,26.0,25.0,351,El Monte Union High School District,Rosemead,3.61
351,Pleasant Valley High School,https://www.niche.com/k12/pleasant-valley-high-school-chico-ca/,0.92,0.73,0.46,0.61,0.25,15.0,1210.0,610.0,600.0,27.0,27.0,27.0,27.0,26.0,352,Chico Unified School District,Chico,3.74
352,High Tech High Mesa,https://www.niche.com/k12/high-tech-high-mesa-san-diego-ca/,,0.67,0.27,,,,1330.0,670.0,670.0,,,,,,353,,San diego,4.44
353,King/Drew Medical Magnet High School,https://www.niche.com/k12/king-drew-medical-magnet-high-school-los-angeles-ca/,0.97,0.63,0.27,0.46,0.31,23.0,1050.0,520.0,530.0,20.0,19.0,21.0,20.0,20.0,354,Los Angeles Unified School District,Los angeles,3.72
354,Prospect High School,https://www.niche.com/k12/prospect-high-school-saratoga-ca/,0.91,0.69,0.49,0.74,0.24,16.0,1290.0,650.0,640.0,29.0,28.0,29.0,29.0,28.0,355,Campbell Union High School District,Saratoga,3.43
355,Sage Oak Charter School - Online,https://www.niche.com/k12/sage-oak-charter-school-online-redlands-ca/,0.95,0.55,0.4,,,,1230.0,600.0,630.0,,,,,,356,,K-12,4.45
356,"Math, Science, & Technology Magnet Academy at Roosevelt High School",https://www.niche.com/k12/math-science-and-technology-magnet-academy-at-roosevelt-high-school-los-angeles-ca/,0.95,0.72,0.37,0.24,0.39,11.0,1070.0,530.0,540.0,23.0,22.0,23.0,23.0,22.0,357,Los Angeles Unified School District,Los angeles,4.36
357,San Dimas High School,https://www.niche.com/k12/san-dimas-high-school-san-dimas-ca/,0.96,0.75,0.47,0.6,0.22,6.0,1160.0,590.0,580.0,27.0,25.0,28.0,27.0,26.0,358,Bonita Unified School District,San dimas,3.85
358,Tamiscal High (Alternative),https://www.niche.com/k12/tamiscal-high-alternative-larkspur-ca/,0.92,0.65,0.35,0.59,0.09,2.0,1270.0,620.0,650.0,29.0,26.0,31.0,30.0,28.0,359,Tamalpais Union High School District,Larkspur,4.61
359,Pasadena High School,https://www.niche.com/k12/pasadena-high-school-pasadena-ca/,0.93,0.61,0.29,,,,1200.0,600.0,600.0,26.0,24.0,27.0,26.0,25.0,360,Pasadena Unified School District,Pasadena,3.47
360,Sheldon High School,https://www.niche.com/k12/sheldon-high-school-sacramento-ca/,0.94,0.62,0.26,0.6,0.25,15.0,1180.0,590.0,590.0,26.0,25.0,26.0,25.0,26.0,361,Elk Grove Unified School District,Sacramento,4.0
361,North Tahoe High School,https://www.niche.com/k12/north-tahoe-high-school-tahoe-city-ca/,0.95,0.72,0.32,,,,1190.0,590.0,600.0,25.0,23.0,27.0,26.0,24.0,362,Tahoe-Truckee Unified School District,Tahoe city,3.9
362,Granada High School,https://www.niche.com/k12/granada-high-school-livermore-ca/,0.98,0.66,0.44,0.8,0.18,10.0,1290.0,650.0,640.0,28.0,27.0,29.0,28.0,28.0,363,Livermore Valley Joint Unified School District,Livermore,3.82
363,Woodcreek High School,https://www.niche.com/k12/woodcreek-high-school-roseville-ca/,0.9,0.71,0.34,0.83,0.35,19.0,1230.0,610.0,610.0,27.0,26.0,28.0,26.0,26.0,364,Roseville Joint Union High School District,Roseville,3.82
364,Martin Luther King Junior High School,https://www.niche.com/k12/martin-luther-king-junior-high-school-riverside-ca/,0.98,0.79,0.42,0.51,0.27,22.0,1190.0,600.0,590.0,26.0,26.0,27.0,26.0,26.0,365,Riverside Unified School District,Riverside,3.83
365,Ripon High School,https://www.niche.com/k12/ripon-high-school-ripon-ca/,0.98,0.76,0.54,0.6,0.26,11.0,1190.0,590.0,600.0,26.0,24.0,27.0,26.0,25.0,366,Ripon Unified School District,Ripon,3.71
366,Chico High School,https://www.niche.com/k12/chico-high-school-chico-ca/,0.96,0.76,0.4,0.52,0.32,12.0,1250.0,630.0,620.0,27.0,26.0,28.0,26.0,27.0,367,Chico Unified School District,Chico,3.84
367,AIMS College Prep High School,https://www.niche.com/k12/aims-college-prep-high-school-oakland-ca/,0.98,0.42,0.37,1.0,,,1180.0,610.0,570.0,24.0,26.0,25.0,23.0,23.0,368,,Oakland,3.21
368,Woodside High School,https://www.niche.com/k12/woodside-high-school-woodside-ca/,0.92,0.65,0.41,0.73,0.27,19.0,1270.0,630.0,640.0,28.0,27.0,29.0,29.0,27.0,369,Sequoia Union High School District,Woodside,3.8
369,Cabrillo Point Academy,https://www.niche.com/k12/cabrillo-point-academy-poway-ca/,0.92,0.51,0.38,,,,1170.0,570.0,600.0,31.0,27.0,33.0,31.0,32.0,370,,K-12,4.35
370,Bolsa Grande High School,https://www.niche.com/k12/bolsa-grande-high-school-garden-grove-ca/,0.92,0.74,0.5,0.63,0.28,19.0,1180.0,600.0,580.0,23.0,24.0,23.0,23.0,22.0,371,Garden Grove Unified School District,Garden grove,3.57
371,Verdugo Academy,https://www.niche.com/k12/verdugo-academy-la-crescenta-ca/,0.85,0.53,0.38,,,,650.0,,,,,,,,372,Glendale Unified School District,La crescenta,3.83
372,Venice Senior High School,https://www.niche.com/k12/venice-senior-high-school-los-angeles-ca/,0.86,0.66,0.28,0.48,0.36,18.0,1200.0,600.0,600.0,26.0,24.0,27.0,27.0,25.0,373,Los Angeles Unified School District,Los angeles,3.69
373,Orchard View,https://www.niche.com/k12/orchard-view-sebastopol-ca/,0.85,0.62,0.47,,,,1360.0,680.0,680.0,,,,,,374,Twin Hills Union Elementary School District,K-12,4.83
374,Oxnard Middle College High School,https://www.niche.com/k12/oxnard-middle-college-high-school-oxnard-ca/,,0.85,0.45,,,,,,,,,,,,375,Oxnard Union High School District,Oxnard,4.57
375,San Diego Virtual,https://www.niche.com/k12/san-diego-virtual-san-diego-ca/,0.77,0.57,0.22,,,,1330.0,640.0,700.0,,,,,,376,,K-12,4.58
376,Valhalla High School,https://www.niche.com/k12/valhalla-high-school-el-cajon-ca/,0.86,0.72,0.4,0.62,0.2,13.0,1230.0,620.0,610.0,27.0,26.0,28.0,27.0,27.0,377,Grossmont Union High School District,El cajon,3.93
377,Agoura High School,https://www.niche.com/k12/agoura-high-school-agoura-ca/,0.95,0.69,0.49,0.63,0.27,18.0,1310.0,650.0,660.0,30.0,29.0,31.0,31.0,28.0,378,Las Virgenes Unified School District,Agoura,3.9
378,High Tech High Media Arts,https://www.niche.com/k12/high-tech-high-media-arts-san-diego-ca/,0.95,0.67,0.17,,,,1140.0,560.0,580.0,25.0,23.0,26.0,26.0,24.0,379,,San diego,3.76
379,Middle College High School,https://www.niche.com/k12/middle-college-high-school-los-angeles-ca/,0.95,0.77,0.57,0.09,0.43,6.0,1080.0,530.0,550.0,22.0,22.0,21.0,22.0,21.0,380,Los Angeles Unified School District,Los angeles,3.87
380,San Marcos Senior High School,https://www.niche.com/k12/san-marcos-senior-high-school-santa-barbara-ca/,0.92,0.5,0.28,0.56,0.34,18.0,1260.0,620.0,630.0,30.0,28.0,31.0,30.0,30.0,381,Santa Barbara Unified School District,Santa barbara,3.92
381,Benicia High School,https://www.niche.com/k12/benicia-high-school-benicia-ca/,0.97,0.63,0.36,0.72,0.33,20.0,1260.0,630.0,630.0,28.0,26.0,29.0,29.0,27.0,382,Benicia Unified School District,Benicia,3.57
382,Design Tech High School,https://www.niche.com/k12/design-tech-high-school-redwood-city-ca/,0.95,0.72,0.52,,,,1310.0,650.0,660.0,30.0,29.0,32.0,31.0,29.0,383,,Redwood city,3.59
383,Hallmark Charter School,https://www.niche.com/k12/hallmark-charter-school-sanger-ca/,0.9,0.62,0.32,,,,1230.0,590.0,640.0,,,,,,384,Sanger Unified School District,Sanger,4.22
384,Redwood Collegiate Academy,https://www.niche.com/k12/redwood-collegiate-academy-ukiah-ca/,,0.85,0.45,0.41,0.07,,1250.0,600.0,640.0,,,,,,385,,Ukiah,4.31
385,Santa Rosa Academy,https://www.niche.com/k12/santa-rosa-academy-menifee-ca/,1.0,0.55,0.38,,,,1140.0,560.0,580.0,25.0,24.0,26.0,25.0,25.0,386,,Menifee,4.06
386,Coast Union High School,https://www.niche.com/k12/coast-union-high-school-cambria-ca/,0.9,0.65,0.25,0.64,0.31,10.0,1170.0,580.0,590.0,27.0,24.0,30.0,28.0,27.0,387,Coast Unified School District,Cambria,3.4
387,Scotts Valley High School,https://www.niche.com/k12/scotts-valley-high-school-scotts-valley-ca/,0.95,0.72,0.52,,,,1310.0,660.0,650.0,29.0,28.0,30.0,29.0,28.0,388,Scotts Valley Unified School District,Scotts valley,3.65
388,Liberty High School,https://www.niche.com/k12/liberty-high-school-bakersfield-ca/,0.96,0.68,0.36,0.59,0.22,12.0,1230.0,620.0,610.0,26.0,26.0,27.0,26.0,25.0,389,Kern High School District,Bakersfield,3.99
389,Roseville High School,https://www.niche.com/k12/roseville-high-school-roseville-ca/,0.89,0.66,0.31,0.54,0.38,23.0,1170.0,580.0,590.0,24.0,24.0,25.0,24.0,24.0,390,Roseville Joint Union High School District,Roseville,3.82
390,Math & Science College Preparatory,https://www.niche.com/k12/math-and-science-college-preparatory-los-angeles-ca/,0.95,0.52,0.17,,,,1030.0,520.0,510.0,19.0,19.0,19.0,18.0,19.0,391,,Los angeles,4.33
391,The Met,https://www.niche.com/k12/the-met-sacramento-ca/,0.85,0.55,0.35,,,,1160.0,560.0,590.0,,,,,,392,Sacramento City Unified School District,Sacramento,4.0
392,Abraham Lincoln High,https://www.niche.com/k12/abraham-lincoln-high-san-francisco-ca/,0.96,0.55,0.39,0.78,0.18,18.0,1200.0,620.0,590.0,25.0,25.0,26.0,25.0,25.0,393,San Francisco Unified School District,San francisco,3.93
393,Grossmont High School,https://www.niche.com/k12/grossmont-high-school-la-mesa-ca/,0.76,0.66,0.31,0.6,0.24,17.0,1180.0,590.0,590.0,26.0,25.0,27.0,26.0,26.0,394,Grossmont Union High School District,La mesa,3.94
394,Temecula Valley High School,https://www.niche.com/k12/temecula-valley-high-school-temecula-ca/,0.96,0.76,0.35,0.64,0.39,24.0,1160.0,570.0,590.0,25.0,24.0,26.0,25.0,25.0,395,Temecula Valley Unified School District,Temecula,3.6
395,Summit Public School: Tahoma,https://www.niche.com/k12/summit-public-school-tahoma-san-jose-ca/,0.95,0.67,0.42,0.34,0.08,,1220.0,600.0,610.0,22.0,21.0,22.0,22.0,21.0,396,,San jose,4.12
396,Guajome Park Academy Charter School,https://www.niche.com/k12/guajome-park-academy-charter-school-vista-ca/,0.99,0.5,0.23,,,,1180.0,590.0,590.0,26.0,26.0,27.0,27.0,26.0,397,,Vista,4.11
397,Royal High School,https://www.niche.com/k12/royal-high-school-simi-valley-ca/,0.92,0.6,0.22,0.94,0.3,23.0,1230.0,610.0,620.0,25.0,24.0,26.0,26.0,25.0,398,Simi Valley Unified School District,Simi valley,3.74
398,Raoul Wallenberg Traditional High,https://www.niche.com/k12/raoul-wallenberg-traditional-high-san-francisco-ca/,0.92,0.72,0.47,0.6,0.27,8.0,1190.0,600.0,590.0,26.0,25.0,26.0,26.0,27.0,399,San Francisco Unified School District,San francisco,3.33
399,Alliance Dr. Olga Mohan High School,https://www.niche.com/k12/alliance-dr-olga-mohan-high-school-los-angeles-ca/,0.92,0.67,0.32,,,,1130.0,570.0,560.0,23.0,23.0,23.0,22.0,22.0,400,,Los angeles,3.97
400,James Logan High School,https://www.niche.com/k12/james-logan-high-school-union-city-ca/,0.94,0.61,0.35,0.56,0.24,18.0,1230.0,620.0,610.0,28.0,28.0,29.0,28.0,27.0,401,New Haven Unified School District,Union city,3.82
401,Monrovia High School,https://www.niche.com/k12/monrovia-high-school-monrovia-ca/,0.98,0.67,0.36,0.66,0.35,21.0,1180.0,590.0,590.0,25.0,24.0,26.0,25.0,24.0,402,Monrovia Unified School District,Monrovia,3.96
402,Pacific Crest Academy,https://www.niche.com/k12/pacific-crest-academy-el-dorado-ca/,0.96,0.85,0.35,,,,1200.0,570.0,630.0,,,,,,403,El Dorado Union High School District,El dorado,4.55
403,West Hills High School,https://www.niche.com/k12/west-hills-high-school-santee-ca/,0.87,0.68,0.39,0.55,0.25,13.0,1190.0,590.0,600.0,27.0,25.0,28.0,27.0,26.0,404,Grossmont Union High School District,Santee,3.85
404,JCS - Live Virtual,https://www.niche.com/k12/jcs-live-virtual-julian-ca/,0.87,0.57,0.37,,,,1200.0,580.0,610.0,,,,,,405,,K-12,4.04
405,Galileo High School,https://www.niche.com/k12/galileo-high-school-san-francisco-ca/,0.89,0.63,0.44,0.67,0.29,18.0,1190.0,610.0,580.0,25.0,25.0,25.0,24.0,25.0,406,San Francisco Unified School District,San francisco,3.55
406,James A. Garfield Senior High School,https://www.niche.com/k12/james-a-garfield-senior-high-school-los-angeles-ca/,0.94,0.63,0.27,0.6,0.15,12.0,1050.0,530.0,520.0,21.0,21.0,21.0,20.0,20.0,407,Los Angeles Unified School District,Los angeles,3.89
407,Redwood High School,https://www.niche.com/k12/redwood-high-school-visalia-ca/,0.98,0.74,0.33,0.55,0.22,13.0,1190.0,590.0,600.0,27.0,25.0,28.0,27.0,26.0,408,Visalia Unified School District,Visalia,3.94
408,School for Entrepreneurship & Technology,https://www.niche.com/k12/school-for-entrepreneurship-and-technology-san-diego-ca/,0.85,0.55,0.25,,,,1230.0,610.0,620.0,,,,,,409,,San diego,4.25
409,Del Lago Academy - Campus of Applied Science,https://www.niche.com/k12/del-lago-academy-campus-of-applied-science-escondido-ca/,0.95,0.72,0.27,0.6,0.21,3.0,1160.0,570.0,580.0,25.0,24.0,25.0,24.0,24.0,410,Escondido Union High School District,Escondido,4.28
410,Villa Park High School,https://www.niche.com/k12/villa-park-high-school-villa-park-ca/,0.98,0.57,0.27,0.7,0.4,26.0,1250.0,620.0,630.0,29.0,28.0,29.0,30.0,29.0,411,Orange Unified School District,Villa park,3.73
411,High Tech High International,https://www.niche.com/k12/high-tech-high-international-san-diego-ca/,0.95,0.57,0.22,,,,1190.0,590.0,600.0,26.0,25.0,27.0,27.0,26.0,412,,San diego,3.92
412,Mission Bay High School,https://www.niche.com/k12/mission-bay-high-school-san-diego-ca/,0.93,0.54,0.35,0.61,0.23,5.0,1210.0,600.0,610.0,26.0,24.0,28.0,27.0,26.0,413,San Diego Unified School District,San diego,3.43
413,Downey High School,https://www.niche.com/k12/downey-high-school-downey-ca/,0.96,0.64,0.29,0.69,0.19,17.0,1130.0,560.0,570.0,25.0,25.0,26.0,25.0,25.0,414,Downey Unified School District,Downey,4.07
414,Wilson High School,https://www.niche.com/k12/wilson-high-school-long-beach-ca/,0.88,0.58,0.19,0.59,0.35,26.0,1130.0,560.0,570.0,25.0,24.0,27.0,26.0,25.0,415,Long Beach Unified School District,Long beach,3.69
415,Greater San Diego Academy,https://www.niche.com/k12/greater-san-diego-academy-jamul-ca/,0.9,0.62,0.42,,,,1190.0,570.0,620.0,,,,,,416,,Jamul,4.0
416,Glacier High School Charter School,https://www.niche.com/k12/glacier-high-school-charter-school-oakhurst-ca/,0.85,0.85,0.25,,,,1150.0,550.0,600.0,,,,,,417,,Oakhurst,4.12
417,Elite Academic Academy - Mountain Empire,https://www.niche.com/k12/elite-academic-academy-mountain-empire-temecula-ca/,0.65,0.63,0.47,,,,,,,,,,,,418,,K-12,4.4
418,Abraham Lincoln Senior High School,https://www.niche.com/k12/abraham-lincoln-senior-high-school-los-angeles-ca/,0.86,0.59,0.38,0.49,0.25,21.0,1130.0,570.0,560.0,25.0,26.0,25.0,25.0,25.0,419,Los Angeles Unified School District,Los angeles,3.53
419,San Gabriel High School,https://www.niche.com/k12/san-gabriel-high-school-san-gabriel-ca/,0.97,0.64,0.45,0.72,0.36,18.0,1220.0,630.0,600.0,24.0,24.0,24.0,23.0,23.0,420,Alhambra Unified School District,San gabriel,3.68
420,High Tech High School,https://www.niche.com/k12/high-tech-high-school-san-diego-ca/,0.92,0.47,0.17,,,,1160.0,570.0,590.0,26.0,23.0,29.0,27.0,26.0,421,,San diego,4.06
421,Santa Teresa High School,https://www.niche.com/k12/santa-teresa-high-school-san-jose-ca/,0.89,0.73,0.51,0.61,0.3,24.0,1240.0,630.0,620.0,29.0,29.0,29.0,29.0,28.0,422,East Side Union High School District,San jose,3.55
422,Harbor High School,https://www.niche.com/k12/harbor-high-school-santa-cruz-ca/,0.93,0.61,0.29,0.73,0.29,11.0,1180.0,590.0,580.0,24.0,24.0,25.0,24.0,24.0,423,Santa Cruz City High School District,Santa cruz,3.55
423,Coastal Academy Charter,https://www.niche.com/k12/coastal-academy-charter-oceanside-ca/,0.95,0.58,0.43,,,,1270.0,610.0,660.0,,,,,,424,,Oceanside,4.33
424,CORE Charter School,https://www.niche.com/k12/core-charter-school-marysville-ca/,0.92,0.46,0.28,,,,1270.0,630.0,640.0,,,,,,425,,Marysville,4.35
425,iLEAD Hybrid,https://www.niche.com/k12/ilead-hybrid-acton-ca/,0.92,0.48,0.32,,,,1310.0,640.0,670.0,,,,,,426,,K-12,4.35
426,Alta Vista Alternative High School,https://www.niche.com/k12/alta-vista-alternative-high-school-santa-barbara-ca/,0.67,0.65,0.25,,,,1270.0,610.0,660.0,,,,,,427,Santa Barbara Unified School District,9-12,4.06
427,Ann Sobrato High School,https://www.niche.com/k12/ann-sobrato-high-school-morgan-hill-ca/,0.96,0.7,0.48,0.55,0.41,15.0,1200.0,600.0,600.0,27.0,27.0,28.0,26.0,27.0,428,Morgan Hill Unified School District,Morgan hill,3.53
428,Westminster High School,https://www.niche.com/k12/westminster-high-school-westminster-ca/,0.94,0.67,0.39,0.45,0.3,23.0,1190.0,610.0,580.0,24.0,24.0,25.0,25.0,24.0,429,Huntington Beach Union High School District,Westminster,3.89
429,Orcutt Academy Charter School,https://www.niche.com/k12/orcutt-academy-charter-school-orcutt-ca/,0.92,0.63,0.45,0.55,0.26,11.0,1240.0,610.0,620.0,28.0,27.0,29.0,29.0,28.0,430,Orcutt Union Elementary School District,Orcutt,3.92
430,Westlake Charter School,https://www.niche.com/k12/westlake-charter-school-sacramento-ca/,,0.62,0.44,,,,1160.0,580.0,580.0,,,,,,431,Natomas Unified School District,Sacramento,4.33
431,Whitmore Charter High School,https://www.niche.com/k12/whitmore-charter-high-school-ceres-ca/,0.9,0.75,0.25,0.97,0.3,3.0,1280.0,630.0,650.0,,,,,,432,Ceres Unified School District,Ceres,4.11
432,Sage Oak Charter School - South,https://www.niche.com/k12/sage-oak-charter-school-south-redlands-ca/,,0.57,0.43,,,,1140.0,540.0,600.0,,,,,,433,,K-12,4.44
433,Fullerton Union High School,https://www.niche.com/k12/fullerton-union-high-school-fullerton-ca/,0.96,0.57,0.26,0.64,0.32,15.0,1190.0,600.0,600.0,25.0,24.0,26.0,26.0,24.0,434,Fullerton Joint Union High School District,Fullerton,3.79
434,Lake Balboa College Preparatory Magnet K-12,https://www.niche.com/k12/lake-balboa-college-preparatory-magnet-k-12-lake-balboa-ca/,1.0,0.54,0.37,0.62,0.34,,1110.0,560.0,550.0,,,,,,435,Los Angeles Unified School District,Lake balboa,3.72
435,Alliance Tennenbaum Family Technology High School,https://www.niche.com/k12/alliance-tennenbaum-family-technology-high-school-los-angeles-ca/,0.9,0.67,0.22,,,,1080.0,550.0,530.0,22.0,24.0,22.0,23.0,20.0,436,,Los angeles,4.26
436,Sylmar Biotech Health & Engineering Magnet,https://www.niche.com/k12/sylmar-biotech-health-and-engineering-magnet-sylmar-ca/,1.0,0.65,0.25,0.22,,,980.0,470.0,510.0,,,,,,437,Los Angeles Unified School District,Sylmar,4.43
437,University High School,https://www.niche.com/k12/university-high-school-los-angeles-ca/,0.92,0.56,0.22,0.6,0.22,22.0,1120.0,560.0,560.0,24.0,24.0,24.0,25.0,24.0,438,Los Angeles Unified School District,Los angeles,3.83
438,Chaparral High School,https://www.niche.com/k12/chaparral-high-school-temecula-ca/,0.97,0.65,0.36,0.61,0.38,26.0,1170.0,580.0,590.0,25.0,24.0,26.0,25.0,25.0,439,Temecula Valley Unified School District,Temecula,3.73
439,South Sutter Charter School,https://www.niche.com/k12/south-sutter-charter-school-east-nicolaus-ca/,0.92,0.51,0.3,,,,1150.0,540.0,620.0,28.0,26.0,30.0,30.0,27.0,440,,East nicolaus,4.23
440,Stellar Charter School,https://www.niche.com/k12/stellar-charter-school-redding-ca/,0.9,0.57,0.32,,,,,,,,,,,,441,Redding Elementary School District,Redding,4.59
441,Alhambra High School,https://www.niche.com/k12/alhambra-high-school-alhambra-ca/,0.96,0.66,0.32,0.7,0.35,25.0,1210.0,620.0,600.0,27.0,25.0,28.0,27.0,26.0,442,Alhambra Unified School District,Alhambra,3.52
442,Stockton Collegiate International Secondary School,https://www.niche.com/k12/stockton-collegiate-international-secondary-school-stockton-ca/,0.9,0.47,0.18,,,,1130.0,560.0,570.0,27.0,27.0,28.0,27.0,27.0,443,,Stockton,3.92
443,Alta Loma High School,https://www.niche.com/k12/alta-loma-high-school-alta-loma-ca/,0.94,0.75,0.28,0.62,0.18,12.0,1140.0,560.0,580.0,25.0,24.0,26.0,25.0,25.0,444,Chaffey Joint Union High School District,Alta loma,3.83
444,Golden Valley High School,https://www.niche.com/k12/golden-valley-high-school-santa-clarita-ca/,0.92,0.6,0.3,0.67,0.32,15.0,1180.0,590.0,590.0,26.0,25.0,28.0,26.0,26.0,445,William S. Hart Union High School District,Santa clarita,3.84
445,Independence High School,https://www.niche.com/k12/independence-high-school-san-francisco-ca/,0.92,,,,,,1130.0,540.0,590.0,,,,,,446,San Francisco Unified School District,San francisco,3.86
446,California Virtual Academy at San Joaquin,https://www.niche.com/k12/california-virtual-academy-at-san-joaquin-simi-valley-ca-060199013191/,0.77,0.48,0.29,0.58,0.11,,1260.0,620.0,640.0,29.0,26.0,31.0,31.0,27.0,447,,Pk,4.35
447,Vanden High School,https://www.niche.com/k12/vanden-high-school-fairfield-ca/,0.98,0.72,0.3,0.69,0.23,13.0,1160.0,570.0,580.0,27.0,27.0,28.0,27.0,27.0,448,Travis Unified School District,Fairfield,3.71
448,Sage Oak Charter School - Keppel,https://www.niche.com/k12/sage-oak-charter-school-keppel-redlands-ca/,,0.57,0.47,,,,,,,,,,,,449,,K-12,5.0
449,Arroyo Grande High School,https://www.niche.com/k12/arroyo-grande-high-school-arroyo-grande-ca/,0.95,0.56,0.24,0.55,0.33,21.0,1230.0,610.0,620.0,26.0,25.0,27.0,26.0,25.0,450,Lucia Mar Unified School District,Arroyo grande,3.98
450,Reedley Middle College High School,https://www.niche.com/k12/reedley-middle-college-high-school-reedley-ca/,0.9,0.9,0.45,,,,1050.0,530.0,530.0,20.0,20.0,20.0,19.0,20.0,451,Kings Canyon Joint Unified School District,Reedley,4.52
451,Ocean View High School,https://www.niche.com/k12/ocean-view-high-school-huntington-beach-ca/,0.9,0.63,0.2,0.46,0.27,14.0,1130.0,560.0,570.0,26.0,25.0,28.0,27.0,26.0,452,Huntington Beach Union High School District,Huntington beach,3.95
452,Natomas Charter School,https://www.niche.com/k12/natomas-charter-school-sacramento-ca/,0.95,0.64,0.42,0.12,0.11,,1170.0,570.0,600.0,25.0,23.0,26.0,26.0,24.0,453,,Sacramento,4.03
453,Point Loma High School,https://www.niche.com/k12/point-loma-high-school-san-diego-ca/,0.95,0.61,0.36,0.57,0.48,17.0,1220.0,610.0,610.0,28.0,27.0,29.0,29.0,27.0,454,San Diego Unified School District,San diego,3.67
454,Dimensions Collaborative,https://www.niche.com/k12/dimensions-collaborative-escondido-ca/,0.9,0.5,0.31,,,,1180.0,570.0,620.0,25.0,24.0,27.0,24.0,26.0,455,,Escondido,4.35
455,Balboa High School,https://www.niche.com/k12/balboa-high-school-san-francisco-ca/,0.94,0.68,0.47,0.71,0.25,10.0,1190.0,610.0,580.0,24.0,22.0,24.0,23.0,24.0,456,San Francisco Unified School District,San francisco,3.63
456,James C. Enochs High School,https://www.niche.com/k12/james-c-enochs-high-school-modesto-ca/,0.97,0.64,0.31,0.67,0.27,14.0,1190.0,590.0,600.0,27.0,26.0,28.0,27.0,26.0,457,Modesto City High School District,Modesto,3.89
457,Alliance Judy Ivie Burton Technology Academy High School,https://www.niche.com/k12/alliance-judy-ivie-burton-technology-academy-high-school-los-angeles-ca/,0.95,0.62,0.37,,,,1040.0,530.0,520.0,18.0,19.0,18.0,18.0,18.0,458,,Los angeles,3.93
458,STEM Academy of Hollywood,https://www.niche.com/k12/stem-academy-of-hollywood-hollywood-ca/,0.95,0.62,0.17,0.14,0.38,11.0,1080.0,530.0,540.0,22.0,23.0,21.0,21.0,21.0,459,Los Angeles Unified School District,Hollywood,4.5
459,Bitney Prep High School,https://www.niche.com/k12/bitney-prep-high-school-grass-valley-ca/,0.85,,,,,,1200.0,570.0,640.0,,,,,,460,,Grass valley,4.63
460,Environmental Charter High School,https://www.niche.com/k12/environmental-charter-high-school-lawndale-ca/,0.87,0.67,0.27,0.45,0.4,6.0,1050.0,520.0,530.0,19.0,19.0,20.0,19.0,19.0,461,,Lawndale,3.78
461,San Marin High School,https://www.niche.com/k12/san-marin-high-school-novato-ca/,0.97,0.72,0.46,0.58,0.4,17.0,1250.0,620.0,620.0,28.0,27.0,29.0,28.0,27.0,462,Novato Unified School District,Novato,3.68
462,Nuview Bridge Early College High School,https://www.niche.com/k12/nuview-bridge-early-college-high-school-nuevo-ca/,0.95,0.67,0.27,,,,1110.0,560.0,550.0,21.0,21.0,22.0,21.0,21.0,463,Nuview Union School District,Nuevo,3.98
